Id,type,POINT_X,POINT_Y
0,large platform mounds,-64.357915,-15.000864
1,large platform mounds,-64.774797,-14.983732
2,large platform mounds,-64.286531,-15.294966
3,large platform mounds,-64.343638,-15.172186
4,large platform mounds,-64.797639,-15.166475
5,large platform mounds,-64.786218,-14.666788
6,large platform mounds,-64.460708,-14.760063
7,fortified settlements,-61.011552,-13.446299
8,fortified settlements,-61.921458,-13.225485
9,fortified settlements,-62.033599,-13.325542
10,fortified settlements,-62.223174,-12.99325
11,fortified settlements,-62.919195,-12.825355
12,fortified settlements,-62.184417,-11.209606
13,fortified settlements,-62.190128,-11.597934
14,fortified settlements,-62.378581,-11.632198
15,fortified settlements,-62.350027,-11.89489
16,fortified settlements,-62.344317,-12.203269
17,fortified settlements,-62.658406,-11.523695
18,fortified settlements,-62.955362,-11.80923
19,fortified settlements,-62.85828,-11.849205
20,fortified settlements,-63.332269,-11.96913
21,fortified settlements,-63.526433,-12.129029
22,fortified settlements,-63.469326,-12.237533
23,fortified settlements,-63.880497,-12.129029
24,fortified settlements,-64.211718,-12.094765
25,fortified settlements,-64.280246,-12.357458
26,fortified settlements,-64.424874,-12.431385
27,fortified settlements,-64.6823,-12.134698
28,fortified settlements,-63.749151,-13.254039
29,fortified settlements,-63.840522,-13.693763
30,fortified settlements,-63.412219,-13.710895
31,fortified settlements,-63.826055,-13.792558
32,fortified settlements,-63.399655,-13.769715
33,fortified settlements,-65.155761,-11.634673
34,fortified settlements,-65.414646,-10.420196
35,fortified settlements,-65.471753,-10.602938
36,fortified settlements,-65.056775,-10.123239
37,fortified settlements,-63.956513,-10.020446
38,fortified settlements,-66.382992,-11.039046
39,fortified settlements,-66.28591,-11.236065
40,fortified settlements,-64.462767,-9.258162
41,fortified settlements,-64.177231,-8.778463
42,fortified settlements,-64.120124,-9.029734
43,fortified settlements,-68.94767,-10.954528
44,fortified settlements,-68.250964,-10.069368
45,fortified settlements,-68.690688,-9.155655
46,fortified settlements,-53.305569,-12.713108
47,fortified settlements,-53.115212,-12.530365
48,fortified settlements,-53.252269,-12.435187
49,fortified settlements,-53.473083,-12.081123
50,fortified settlements,-53.621562,-12.252444
51,fortified settlements,-53.488312,-11.909802
52,fortified settlements,-53.183741,-12.176301
53,mounded ring villages,-62.69359,-10.142402
54,mounded ring villages,-62.556533,-10.153823
55,mounded ring villages,-62.579376,-10.020573
56,mounded ring villages,-66.170776,-11.012206
57,mounded ring villages,-67.682209,-10.536313
58,mounded ring villages,-67.625102,-10.277428
59,mounded ring villages,-67.560381,-9.86245
60,mounded ring villages,-67.350988,-10.049
61,mounded ring villages,-67.213931,-9.786307
62,mounded ring villages,-67.716473,-10.189864
63,mounded ring villages,-69.597199,-10.878956
64,fortified settlements,-65.808653,-9.382433
65,fortified settlements,-66.014239,-10.993329
66,ceremonial centres,-69.064391,-10.728574
67,ceremonial centres,-68.774096,-10.780922
68,ceremonial centres,-68.445731,-10.766645
69,ceremonial centres,-67.879419,-10.61436
70,ceremonial centres,-67.627196,-10.666708
71,ceremonial centres,-67.969838,-9.924316
72,ceremonial centres,-68.250615,-9.857691
73,ceremonial centres,-68.31724,-9.358004
74,ceremonial centres,-67.855624,-9.534084
75,ceremonial centres,-67.474911,-8.863076
76,ceremonial centres,-67.065643,-8.810728
77,ceremonial centres,-67.322625,-9.224755
78,ceremonial centres,-67.046608,-10.17178
79,ceremonial centres,-67.008536,-9.691129
80,ceremonial centres,-66.72776,-9.700647
81,ceremonial centres,-66.723001,-9.990941
82,ceremonial centres,-66.394635,-9.824379
83,ceremonial centres,-66.170966,-9.705406
84,ceremonial centres,-65.814047,-9.614986
85,ceremonial centres,-67.168912,-8.695483
548,ADE,-70.087555,-12.524853
549,ADE,-72.200516,-7.756413
550,ADE,-72.628819,-7.432806
551,ADE,-73.53004,-4.359851
552,ADE,-73.484354,-4.137134
553,ADE,-73.381562,-3.902995
554,ADE,-73.341587,-3.771649
555,ADE,-72.930416,-3.406163
556,ADE,-72.810491,-3.37761
557,ADE,-69.846634,-4.10858
558,ADE,-72.302238,-0.567942
559,ADE,-72.028124,-0.674542
560,ADE,-65.348898,-10.451589
561,ADE,-64.977702,-11.867844
562,ADE,-64.029725,-12.410361
563,ADE,-62.345066,-13.095646
564,ADE,-60.713327,-12.181171
565,ADE,-60.599113,-10.072017
566,ADE,-60.667641,-9.714146
567,ADE,-59.426515,-9.957803
568,ADE,-59.342758,-10.033946
569,ADE,-59.883371,-7.163364
570,ADE,-61.878311,-9.752218
571,ADE,-62.106739,-9.805518
572,ADE,-62.441768,-10.376588
573,ADE,-61.855468,-10.30806
574,ADE,-61.89354,-10.521259
575,ADE,-62.099125,-10.407045
576,ADE,-61.916383,-11.191316
577,ADE,-63.477309,-8.72429
578,ADE,-63.873251,-8.617691
579,ADE,-63.896094,-8.358805
580,ADE,-63.88848,-8.122763
581,ADE,-63.507766,-8.016163
582,ADE,-63.309795,-7.612606
583,ADE,-63.355481,-7.445092
584,ADE,-62.898624,-7.536463
585,ADE,-62.78441,-6.99585
586,ADE,-62.898624,-6.83595
587,ADE,-62.951924,-6.62275
588,ADE,-62.78441,-6.112594
589,ADE,-62.62451,-6.318179
590,ADE,-62.601667,-5.823252
591,ADE,-62.41131,-6.036451
592,ADE,-62.350396,-5.602438
593,ADE,-62.106739,-5.640509
594,ADE,-62.137197,-5.876551
595,ADE,-61.809783,-5.967923
596,ADE,-61.505212,-6.005994
597,ADE,-61.566126,-5.693809
598,ADE,-61.193026,-5.480609
599,ADE,-61.094041,-5.823252
600,ADE,-60.819927,-5.701423
601,ADE,-60.873227,-5.381624
602,ADE,-61.398612,-4.703953
603,ADE,-60.62957,-5.145581
604,ADE,-60.530584,-5.450152
605,ADE,-60.370685,-4.863853
606,ADE,-60.165099,-5.145581
607,ADE,-60.043271,-4.597353
608,ADE,-59.830071,-4.78771
609,ADE,-59.837685,-4.308011
610,ADE,-59.533114,-4.361311
611,ADE,-59.373215,-3.965368
612,ADE,-59.160015,-3.95014
613,ADE,-59.061029,-3.744554
614,ADE,-65.221739,-7.74281
615,ADE,-65.084682,-7.525804
616,ADE,-64.890518,-7.285954
617,ADE,-64.696354,-7.103211
618,ADE,-64.58214,-7.023261
619,ADE,-64.513612,-6.817676
620,ADE,-64.342291,-6.532141
621,ADE,-66.775052,-5.001671
622,ADE,-64.639247,-3.471202
623,ADE,-64.490769,-3.356988
624,ADE,-64.959047,-4.67045
625,ADE,-64.74204,-4.636186
626,ADE,-64.456505,-4.579079
627,ADE,-64.228077,-4.442022
628,ADE,-64.022491,-4.304965
629,ADE,-63.77122,-4.17933
630,ADE,-63.519949,-4.030851
631,ADE,-63.222992,-3.973744
632,ADE,-62.9603,-3.973744
633,ADE,-62.72045,-3.848109
634,ADE,-62.4806,-3.836687
635,ADE,-62.275015,-3.733894
636,ADE,-62.103694,-3.53973
637,ADE,-62.434915,-4.030851
638,ADE,-61.863844,-3.608259
639,ADE,-61.578309,-3.425516
640,ADE,-61.304195,-3.471202
641,ADE,-61.189981,-3.231352
642,ADE,-60.93871,-2.991503
643,ADE,-60.755967,-3.231352
644,ADE,-60.436167,-3.391252
645,ADE,-60.127789,-3.311302
646,ADE,-59.72804,-3.311302
647,ADE,-59.259762,-3.345566
648,ADE,-59.32829,-3.516888
